        11, 14461.000,    0.0857,     0.105,     0.073,     4.187,     2.909,2.31E+17,1.65E+08
        13, 17091.000,    0.0725,     0.102,     0.067,     4.081,     2.672,1.06E+17,7.65E+07
        17, 22350.000,    0.0555,     0.101,     0.070,     4.050,     2.795,4.05E+16,1.92E+07
        23, 30238.000,    0.0410,     0.095,     0.076,     3.790,     3.044,5.25E+15,3.84E+06
