         5,     12499,    0.0992,1.14e+17,3.29e+08
         7,     17498,    0.0709,4.84e+16,1.40e+08
         9,     22498,    0.0551,1.49e+16,5.30e+07
        13,     32497,    0.0382,7.45e+15,8.67e+06
